name,ref_r,ref_g,ref_b,actual_r,actual_g,actual_b,status
Arctic White,255,255,255,255,255,255,MATCH
Rose Quartz,255,190,190,255,190,190,MATCH
Sahara Sand,255,235,190,255,235,190,MATCH
Topaz Sand,255,235,175,255,235,175,MATCH
Yucca Yellow,255,255,190,255,255,190,MATCH
Olivine Yellow,233,255,190,233,255,190,MATCH
Tzavorite Green,211,255,190,211,255,190,MATCH
Indicolite Green,190,255,232,190,255,232,MATCH
Sodalite Blue,190,232,255,190,232,255,MATCH
Sugilite Sky,190,210,255,190,210,255,MATCH
Lepidolite Lilac,232,190,255,232,190,255,MATCH
Rhodolite Rose,255,190,232,255,190,232,MATCH
Gray 10%,225,225,225,225,225,225,MATCH
Medium Coral Light,255,127,127,255,127,127,MATCH
Cantaloupe,255,167,127,255,167,127,MATCH
Mango,255,211,127,255,211,127,MATCH
Autunite Yellow,255,255,115,255,255,115,MATCH
Lemongrass,209,255,115,209,255,115,MATCH
Light Apple,163,255,115,163,255,115,MATCH
Beryl Green,115,255,223,115,255,223,MATCH
Apatite Blue,115,223,255,115,223,255,MATCH
Yogo Blue,115,178,255,115,178,255,MATCH
Heliotrope,223,115,255,223,115,255,MATCH
Fuchsia Pink,255,115,223,255,115,223,MATCH
Gray 20%,204,204,204,204,204,204,MATCH
Mars Red,255,0,0,255,0,0,MATCH
Fire Red,255,85,0,255,85,0,MATCH
Electron Gold,255,170,0,255,170,0,MATCH
Solar Yellow,255,255,0,255,255,0,MATCH
Peridot Green,170,255,0,170,255,0,MATCH
Medium Apple,85,255,0,85,255,0,MATCH
Tourmaline Green,0,255,197,0,255,197,MATCH
Big Sky Blue,0,197,255,0,197,255,MATCH
Cretan Blue,0,130,255,0,112,255,MISMATCH
Amethyst,197,0,255,197,0,255,MATCH
Ginger Pink,255,0,197,255,0,197,MATCH
Gray 30%,178,178,178,178,178,178,MATCH
Poinsettia Red,230,0,0,230,0,0,MATCH
Flame Red,230,76,0,230,76,0,MATCH
Seville Orange,230,152,0,230,152,0,MATCH
Citron Yellow,230,230,0,230,230,0,MATCH
Macaw Green,152,230,0,152,230,0,MATCH
Quetzel Green,76,230,0,76,230,0,MATCH
Chrysoprase,0,230,169,0,230,169,MATCH
Moorea Blue,0,169,230,0,169,230,MATCH
Lapis Lazuli,0,92,230,0,92,230,MATCH
Anemone Violet,169,0,230,169,0,230,MATCH
Peony Pink,230,0,169,230,0,169,MATCH
Gray 40%,156,156,156,156,156,156,MATCH
Tuscan Red,168,0,0,168,0,0,MATCH
Cherry Cola,168,56,0,168,56,0,MATCH
Raw Umber,168,112,0,168,112,0,MATCH
Olivenite Green,168,168,0,168,168,0,MATCH
Tarragon Green,112,168,0,112,168,0,MATCH
Leaf Green,56,168,0,56,168,0,MATCH
Malachite Green,0,168,132,0,168,132,MATCH
Delft Blue,0,132,168,0,132,168,MATCH
Ultra Blue,0,77,168,0,77,168,MATCH
Dark Amethyst,132,0,168,132,0,168,MATCH
Cattleya Orchid,168,0,132,168,0,132,MATCH
Gray 50%,130,130,130,130,130,130,MATCH
Dark Umber,115,0,0,115,0,0,MATCH
Cherrywood Brown,115,38,0,115,38,0,MATCH
Burnt Umber,115,76,0,115,76,0,MATCH
Dark Olivenite,115,115,0,115,115,0,MATCH
Spruce Green,76,115,0,76,115,0,MATCH
Fir Green,38,115,0,38,115,0,MATCH
Peacock Green,0,115,76,0,115,76,MATCH
Steel Blue,0,76,115,0,76,115,MATCH
Dark Navy,0,38,115,0,38,115,MATCH
Ultramarine,76,0,115,76,0,115,MATCH
Purple Heart,115,0,76,115,0,76,MATCH
Gray 60%,104,104,104,104,104,104,MATCH
Rose Dust,215,158,158,215,158,158,MATCH
Soapstone Dust,215,176,158,215,176,158,MATCH
Tecate Dust,215,194,158,215,194,158,MATCH
Lime Dust,215,215,158,215,215,158,MATCH
Apple Dust,199,215,158,199,215,158,MATCH
Sage Dust,180,215,158,180,215,158,MATCH
Turquoise Dust,158,215,194,158,215,194,MATCH
Blue Gray Dust,158,187,215,158,187,215,MATCH
Violet Dust,158,170,215,158,170,215,MATCH
Lilac Dust,194,158,215,194,158,215,MATCH
Tudor Rose Dust,214,157,188,214,157,188,MATCH
Gray 70%,78,78,78,78,78,78,MATCH
Medium Coral,245,122,122,245,122,122,MATCH
Orange Dust,245,162,122,245,162,122,MATCH
Medium Sand,245,202,122,245,202,122,MATCH
Medium Yellow,245,245,122,245,245,122,MATCH
Medium Lime,205,245,122,205,245,122,MATCH
Medium Key Lime,165,245,122,165,245,122,MATCH
Light Vert,122,245,202,122,245,202,MATCH
Oxide Blue,122,182,245,122,182,245,MATCH
Medium Azul,122,142,245,122,142,245,MATCH
Medium Lilac,202,122,245,202,122,245,MATCH
Medium Fuchsia,245,122,182,245,122,182,MATCH
Gray 80%,52,52,52,52,52,52,MATCH
Tulip Pink,205,102,102,205,102,102,MATCH
Nubuck Tan,205,137,102,205,137,102,MATCH
Light Sienna,205,170,102,205,170,102,MATCH
Light Olivenite,205,205,102,205,205,102,MATCH
Medium Olivenite,171,205,102,171,205,102,MATCH
Fern Green,137,205,102,137,205,102,MATCH
Jadeite,102,205,171,102,205,171,MATCH
Atlantic Blue,102,153,205,102,153,205,MATCH
Pacific Blue,102,119,205,102,119,205,MATCH
Aster Purple,170,102,205,170,102,205,MATCH
Protea Pink,205,102,153,205,102,153,MATCH
Black,0,0,0,0,0,0,MATCH
Cordovan Brown,137,68,68,137,68,68,MATCH
Cocoa Brown,137,90,68,137,90,68,MATCH
Leather Brown,137,112,68,137,112,68,MATCH
Lichen Green,137,137,68,137,137,68,MATCH
Moss Green,114,137,68,114,137,68,MATCH
Lotus Pond Green,92,137,68,92,137,68,MATCH
Deep Forest,68,137,112,68,137,112,MATCH
Larkspur Blue,68,101,137,68,101,137,MATCH
Glacier Blue,68,79,137,68,79,137,MATCH
Blackberry,112,68,137,112,68,137,MATCH
